"address","UK","latitude","longitude","Country"
"Ashford","UK","51.14510070000001","0.8739631","United Kingdom"
"Burgh Hill","UK","51.0156008","0.4545547","United Kingdom"
"Camberwell","UK","51.4740846","-0.09301369999999999","United Kingdom"
"Carshalton","UK","51.365018","-0.164921","United Kingdom"
"Chatham","UK","51.380952","0.52213","United Kingdom"
"Chislehurst","UK","51.412626","0.077487","United Kingdom"
"Chiswick","UK","51.4876272","-0.2671732","United Kingdom"
"Coulsdon","UK","51.319941","-0.141267","United Kingdom"
"Crowborough","UK","51.06085299999999","0.165894","United Kingdom"
"Crowthorne","UK","51.36690100000001","-0.795353","United Kingdom"
"Dover","UK","51.1278758","1.3134027","United Kingdom"
"East Ham","UK","51.5333972","0.04991139999999999","United Kingdom"
"Elephant and Castle","UK","51.4959129","-0.1004748","United Kingdom"
"Eltham","UK","51.4506338","0.0570862","United Kingdom"
"Farringdon","UK","51.5215324","-0.1042414","United Kingdom"
"Finchley Road","UK","51.561398","-0.1971365","United Kingdom"
"Forrest Gate","UK","51.5439215","0.0264272","United Kingdom"
"Fulham","UK","51.4773433","-0.2016817","United Kingdom"
"Goldhawk Road","UK","51.5004473","-0.2351009","United Kingdom"
"Goring-by-Sea","UK","50.8124006","-0.4231669","United Kingdom"
"Hampton","UK","51.4133939","-0.366712","United Kingdom"
"High Holborn","UK","51.5177094","-0.1189638","United Kingdom"
"Langley","UK","51.5000406","-0.5430353","United Kingdom"
"Limehouse","UK","51.5110598","-0.0366652","United Kingdom"
"Maidstone","UK","51.2704083","0.5227244999999999","United Kingdom"
"Muswell Hill","UK","51.5911816","-0.1443015","United Kingdom"
"New Barnet","UK","51.649276","-0.176187","United Kingdom"
"Norwood","UK","53.9734667","-1.6860289","United Kingdom"
"Pinner","UK","51.595172","-0.378002","United Kingdom"
"Royal Tunbridge Wells","UK","51.132377","0.263695","United Kingdom"
"Ruislip","UK","51.574593","-0.4250547000000001","United Kingdom"
"Shoreditch","UK","51.5271766","-0.07796589999999999","United Kingdom"
"St Johns Wood","UK","51.5343581","-0.1742065","United Kingdom"
"Stanmore","UK","51.617676","-0.311451","United Kingdom"
"Stepney","UK","51.5222254","-0.0491574","United Kingdom"
"Thames Ditton","UK","51.389686","-0.339189","United Kingdom"
"Victoria/Pimlico","UK","51.49554149999999","-0.1435602","United Kingdom"
"Wanstead","UK","51.5767971","0.0249881","United Kingdom"
