LSOA code (2011),Local Authority District code (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01000001,E09000001,29199,9
E01000002,E09000001,30379,10
E01000003,E09000001,14915,5
E01000005,E09000001,8678,3
E01000006,E09000002,14486,5
E01000007,E09000002,7256,3
E01000008,E09000002,5010,2
E01000009,E09000002,6736,3
E01000010,E09000002,6900,3
E01000011,E09000002,7698,3
E01000012,E09000002,5990,2
E01000013,E09000002,4573,2
E01000014,E09000002,5650,2
E01000015,E09000002,6405,2
E01000016,E09000002,6739,3
E01000017,E09000002,4570,2
E01000018,E09000002,6504,2
E01000019,E09000002,6410,2
E01000020,E09000002,5520,2
E01000021,E09000002,4611,2
E01000022,E09000002,6098,2
E01000023,E09000002,5243,2
E01000024,E09000002,8333,3
E01000025,E09000002,5303,2
E01000027,E09000002,5097,2
E01000028,E09000002,4240,2
E01000029,E09000002,12389,4
E01000030,E09000002,4760,2
E01000031,E09000002,12267,4
E01000032,E09000002,8037,3
E01000033,E09000002,4879,2
E01000034,E09000002,5575,2
E01000035,E09000002,10070,4
E01000036,E09000002,15028,5
E01000037,E09000002,16128,5
E01000038,E09000002,14671,5
E01000039,E09000002,12542,4
E01000040,E09000002,6028,2
E01000041,E09000002,6601,3
E01000042,E09000002,3842,2
E01000043,E09000002,8992,3
E01000044,E09000002,8825,3
E01000045,E09000002,5639,2
E01000046,E09000002,8138,3
E01000048,E09000002,3117,1
E01000049,E09000002,3928,2
E01000050,E09000002,5994,2
E01000051,E09000002,5228,2
E01000052,E09000002,6549,2
E01000053,E09000002,4249,2
E01000054,E09000002,8124,3
E01000055,E09000002,7604,3
E01000056,E09000002,5571,2
E01000057,E09000002,6712,3
E01000058,E09000002,7176,3
E01000059,E09000002,6950,3
E01000060,E09000002,5475,2
E01000061,E09000002,2802,1
E01000062,E09000002,9781,3
E01000063,E09000002,6520,2
E01000064,E09000002,5791,2
E01000065,E09000002,4296,2
E01000066,E09000002,10329,4
E01000067,E09000002,13573,5
E01000068,E09000002,10421,4
E01000069,E09000002,17580,6
E01000070,E09000002,13531,5
E01000071,E09000002,15370,5
E01000072,E09000002,3974,2
E01000073,E09000002,4645,2
E01000074,E09000002,5870,2
E01000075,E09000002,5215,2
E01000076,E09000002,5451,2
E01000077,E09000002,3967,2
E01000078,E09000002,5874,2
E01000079,E09000002,6057,2
E01000080,E09000002,6596,3
E01000081,E09000002,7738,3
E01000082,E09000002,9100,3
E01000083,E09000002,6111,2
E01000084,E09000002,4315,2
E01000085,E09000002,5838,2
E01000086,E09000002,4822,2
E01000087,E09000002,6122,2
E01000088,E09000002,8574,3
E01000089,E09000002,8508,3
E01000090,E09000002,8873,3
E01000091,E09000002,3669,2
E01000092,E09000002,6348,2
E01000093,E09000002,2669,1
E01000094,E09000002,8930,3
E01000095,E09000002,6984,3
E01000096,E09000002,3997,2
E01000097,E09000002,4866,2
E01000098,E09000002,4455,2
E01000099,E09000002,8373,3
E01000100,E09000002,7152,3
E01000101,E09000002,4126,2
E01000102,E09000002,3557,2
E01000103,E09000002,6708,3
E01000104,E09000002,6002,2
E01000105,E09000002,3229,1
E01000106,E09000002,3355,2
E01000107,E09000002,8865,3
E01000108,E09000002,8940,3
E01000109,E09000002,10373,4
E01000110,E09000002,16365,5
E01000111,E09000002,8544,3
E01000112,E09000002,10925,4
E01000113,E09000002,10601,4
E01000114,E09000002,11855,4
E01000115,E09000003,29174,9
E01000116,E09000003,27318,9
E01000117,E09000003,24958,8
E01000118,E09000003,24743,8
E01000119,E09000003,22657,7
E01000120,E09000003,29572,10
E01000121,E09000003,5463,2
E01000122,E09000003,24308,8
E01000123,E09000003,23278,8
E01000124,E09000003,11634,4
E01000125,E09000003,9759,3
E01000126,E09000003,6407,2
E01000127,E09000003,9275,3
E01000128,E09000003,9555,3
E01000129,E09000003,7554,3
E01000130,E09000003,7621,3
E01000131,E09000003,13623,5
E01000132,E09000003,10459,4
E01000133,E09000003,7660,3
E01000134,E09000003,10969,4
E01000135,E09000003,21585,7
E01000136,E09000003,25840,8
E01000137,E09000003,8611,3
E01000138,E09000003,9114,3
E01000139,E09000003,21727,7
E01000140,E09000003,17164,6
E01000141,E09000003,8601,3
E01000142,E09000003,17305,6
E01000143,E09000003,7380,3
E01000144,E09000003,15833,5
E01000145,E09000003,19310,6
E01000146,E09000003,15647,5
E01000147,E09000003,21282,7
E01000148,E09000003,9213,3
E01000150,E09000003,18371,6
E01000151,E09000003,4606,2
E01000152,E09000003,6908,3
E01000153,E09000003,3826,2
E01000154,E09000003,6805,3
E01000155,E09000003,13700,5
E01000156,E09000003,26669,9
E01000157,E09000003,21431,7
E01000158,E09000003,14606,5
E01000159,E09000003,17696,6
E01000160,E09000003,22025,7
E01000161,E09000003,19434,6
E01000162,E09000003,15689,5
E01000163,E09000003,8744,3
E01000164,E09000003,10557,4
E01000165,E09000003,20782,7
E01000166,E09000003,19054,6
E01000167,E09000003,8854,3
E01000168,E09000003,28357,9
E01000169,E09000003,20813,7
E01000170,E09000003,14031,5
E01000171,E09000003,11210,4
E01000172,E09000003,26533,9
E01000173,E09000003,24872,8
E01000174,E09000003,17685,6
E01000175,E09000003,27536,9
E01000176,E09000003,7768,3
E01000177,E09000003,26742,9
E01000178,E09000003,27008,9
E01000179,E09000003,26462,9
E01000180,E09000003,19391,6
E01000181,E09000003,26821,9
E01000182,E09000003,27057,9
E01000183,E09000003,23760,8
E01000184,E09000003,7110,3
E01000185,E09000003,10299,4
E01000186,E09000003,30326,10
E01000187,E09000003,21042,7
E01000188,E09000003,27036,9
E01000189,E09000003,11051,4
E01000190,E09000003,24311,8
E01000191,E09000003,28527,9
E01000192,E09000003,18475,6
E01000193,E09000003,17828,6
E01000194,E09000003,14920,5
E01000195,E09000003,9593,3
E01000196,E09000003,21850,7
E01000197,E09000003,21591,7
E01000198,E09000003,22353,7
E01000199,E09000003,28042,9
E01000200,E09000003,25046,8
E01000201,E09000003,28084,9
E01000202,E09000003,28623,9
E01000203,E09000003,18422,6
E01000204,E09000003,24436,8
E01000205,E09000003,27397,9
E01000206,E09000003,25629,8
E01000207,E09000003,28804,9
E01000208,E09000003,28766,9
E01000209,E09000003,28249,9
E01000210,E09000003,26833,9
E01000211,E09000003,19377,6
E01000212,E09000003,24145,8
E01000213,E09000003,27586,9
E01000214,E09000003,23881,8
E01000215,E09000003,20414,7
E01000216,E09000003,24507,8
E01000217,E09000003,23520,8
E01000218,E09000003,18612,6
E01000219,E09000003,14460,5
E01000220,E09000003,16891,6
E01000221,E09000003,2878,1
E01000222,E09000003,9539,3
E01000223,E09000003,5606,2
E01000224,E09000003,14638,5
E01000225,E09000003,23364,8
E01000226,E09000003,7222,3
E01000227,E09000003,24577,8
E01000228,E09000003,21621,7
E01000229,E09000003,13079,4
E01000230,E09000003,27204,9
E01000231,E09000003,16447,6
E01000232,E09000003,19413,6
E01000233,E09000003,25991,8
E01000234,E09000003,26226,8
E01000235,E09000003,11811,4
E01000236,E09000003,23808,8
E01000237,E09000003,25066,8
E01000238,E09000003,19485,6
E01000239,E09000003,13120,4
E01000240,E09000003,14717,5
E01000241,E09000003,23646,8
E01000242,E09000003,15111,5
E01000243,E09000003,19861,7
E01000244,E09000003,18293,6
E01000245,E09000003,11312,4
E01000246,E09000003,23751,8
E01000247,E09000003,24330,8
E01000248,E09000003,27938,9
E01000249,E09000003,29613,10
E01000250,E09000003,21023,7
E01000251,E09000003,15365,5
E01000252,E09000003,20654,7
E01000253,E09000003,25200,8
E01000254,E09000003,27346,9
E01000255,E09000003,15471,5
E01000256,E09000003,23742,8
E01000257,E09000003,10770,4
E01000258,E09000003,25595,8
E01000259,E09000003,20665,7
E01000260,E09000003,14473,5
E01000261,E09000003,27512,9
E01000262,E09000003,22595,7
E01000263,E09000003,29609,10
E01000264,E09000003,17488,6
E01000265,E09000003,18822,6
E01000266,E09000003,27042,9
E01000267,E09000003,21327,7
E01000268,E09000003,18670,6
E01000269,E09000003,23965,8
E01000270,E09000003,22199,7
E01000271,E09000003,28725,9
E01000272,E09000003,30661,10
E01000273,E09000003,19790,7
E01000274,E09000003,18373,6
E01000275,E09000003,20490,7
E01000276,E09000003,31443,10
E01000277,E09000003,15935,5
E01000278,E09000003,29998,10
E01000279,E09000003,25843,8
E01000280,E09000003,31544,10
E01000281,E09000003,23416,8
E01000282,E09000003,26321,9
E01000283,E09000003,30858,10
E01000284,E09000003,18467,6
E01000285,E09000003,18783,6
E01000286,E09000003,11433,4
E01000287,E09000003,12242,4
E01000288,E09000003,21005,7
E01000289,E09000003,4786,2
E01000290,E09000003,14405,5
E01000291,E09000003,6697,3
E01000292,E09000003,22974,7
E01000293,E09000003,27550,9
E01000294,E09000003,21893,7
E01000295,E09000003,20731,7
E01000296,E09000003,22036,7
E01000297,E09000003,25783,8
E01000298,E09000003,22372,7
E01000299,E09000003,16989,6
E01000300,E09000003,21880,7
E01000301,E09000003,28246,9
E01000302,E09000003,18360,6
E01000303,E09000003,28555,9
E01000304,E09000003,20455,7
E01000305,E09000003,9115,3
E01000306,E09000003,19906,7
E01000307,E09000003,11835,4
E01000308,E09000003,7151,3
E01000309,E09000003,20046,7
E01000310,E09000003,15067,5
E01000311,E09000003,23246,8
E01000312,E09000003,10806,4
E01000313,E09000003,14409,5
E01000314,E09000003,23679,8
E01000315,E09000003,6785,3
E01000316,E09000003,14454,5
E01000317,E09000003,23497,8
E01000318,E09000003,19218,6
E01000319,E09000003,24628,8
E01000320,E09000003,26150,8
E01000321,E09000003,19535,6
E01000322,E09000003,19048,6
E01000323,E09000003,15389,5
E01000324,E09000003,20202,7
E01000325,E09000004,29599,10
E01000326,E09000004,22206,7
E01000327,E09000004,27457,9
E01000328,E09000004,22853,7
E01000329,E09000004,18060,6
E01000330,E09000004,16254,5
E01000331,E09000004,8888,3
E01000332,E09000004,17857,6
E01000333,E09000004,10270,4
E01000334,E09000004,21066,7
E01000335,E09000004,7186,3
E01000336,E09000004,7373,3
E01000337,E09000004,14747,5
E01000338,E09000004,15333,5
E01000339,E09000004,17653,6
E01000340,E09000004,21230,7
E01000341,E09000004,25941,8
E01000342,E09000004,25891,8
E01000343,E09000004,26633,9
E01000344,E09000004,29332,9
E01000345,E09000004,29145,9
E01000346,E09000004,24927,8
E01000347,E09000004,23128,8
E01000348,E09000004,30525,10
E01000349,E09000004,27736,9
E01000350,E09000004,27197,9
E01000351,E09000004,27580,9
E01000352,E09000004,19159,6
E01000353,E09000004,30316,10
E01000354,E09000004,13302,5
E01000355,E09000004,26842,9
E01000356,E09000004,27128,9
E01000357,E09000004,31429,10
E01000358,E09000004,29282,9
E01000359,E09000004,29254,9
E01000360,E09000004,15534,5
E01000361,E09000004,23027,8
E01000362,E09000004,21457,7
E01000363,E09000004,25379,8
E01000364,E09000004,21389,7
E01000365,E09000004,19555,6
E01000366,E09000004,24683,8
E01000367,E09000004,7599,3
E01000368,E09000004,6298,2
E01000369,E09000004,19297,6
E01000370,E09000004,22899,7
E01000371,E09000004,26858,9
E01000372,E09000004,8063,3
E01000373,E09000004,8331,3
E01000374,E09000004,3624,2
E01000375,E09000004,15879,5
E01000376,E09000004,17727,6
E01000377,E09000004,21848,7
E01000378,E09000004,13369,5
E01000379,E09000004,15579,5
E01000380,E09000004,11840,4
E01000381,E09000004,9141,3
E01000382,E09000004,28932,9
E01000383,E09000004,13501,5
E01000384,E09000004,22083,7
E01000385,E09000004,6958,3
E01000386,E09000004,3835,2
E01000387,E09000004,21777,7
E01000388,E09000004,23585,8
E01000389,E09000004,23070,8
E01000390,E09000004,24292,8
E01000391,E09000004,20043,7
E01000392,E09000004,12119,4
E01000393,E09000004,25584,8
E01000394,E09000004,25359,8
E01000395,E09000004,30471,10
E01000396,E09000004,26986,9
E01000398,E09000004,14343,5
E01000399,E09000004,25650,8
E01000400,E09000004,19222,6
E01000401,E09000004,13478,5
E01000402,E09000004,11661,4
