area_name,center_lsoa,center_lng,center_lat,total_retirees_in_radius,num_polygons_in_radius,polygon_ids_in_radius,radius
Adur,E01031358,-0.300764371232842,50.8359686461749,10106,28,"[""E01031339"",""E01031340"",""E01031341"",""E01031342"",""E01031343"",""E01031344"",""E01031345"",""E01031346"",""E01031353"",""E01031354"",""E01031355"",""E01031356"",""E01031357"",""E01031358"",""E01031359"",""E01031360"",""E01031361"",""E01031364"",""E01031365"",""E01031366"",""E01031367"",""E01031368"",""E01031369"",""E01031372"",""E01031376"",""E01031377"",""E01031378"",""E01031379""]",2_miles
Allerdale,E01019118,-3.54839434561396,54.6401081045694,5862,17,"[""E01019100"",""E01019101"",""E01019108"",""E01019109"",""E01019110"",""E01019111"",""E01019112"",""E01019113"",""E01019116"",""E01019117"",""E01019118"",""E01019119"",""E01019120"",""E01019121"",""E01019122"",""E01019124"",""E01019129""]",2_miles
Amber Valley,E01019412,-1.45327917753027,53.0343715127902,8293,22,"[""E01019407"",""E01019408"",""E01019409"",""E01019410"",""E01019411"",""E01019412"",""E01019413"",""E01019414"",""E01019415"",""E01019416"",""E01019417"",""E01019418"",""E01019428"",""E01019429"",""E01019430"",""E01019449"",""E01019450"",""E01019454"",""E01019460"",""E01019461"",""E01019462"",""E01019463""]",2_miles
Arun,E01031462,-0.508416472797227,50.8160006826503,15972,34,"[""E01031387"",""E01031389"",""E01031398"",""E01031399"",""E01031400"",""E01031407"",""E01031408"",""E01031409"",""E01031410"",""E01031411"",""E01031412"",""E01031413"",""E01031414"",""E01031415"",""E01031427"",""E01031428"",""E01031430"",""E01031454"",""E01031455"",""E01031456"",""E01031457"",""E01031458"",""E01031459"",""E01031460"",""E01031461"",""E01031462"",""E01031463"",""E01031464"",""E01031469"",""E01034816"",""E01034817"",""E01034818"",""E01034820"",""E01034821""]",2_miles
Ashfield,E01027975,-1.26824260244209,53.117520793858,11337,38,"[""E01027947"",""E01027948"",""E01027949"",""E01027951"",""E01027952"",""E01027954"",""E01027955"",""E01027956"",""E01027957"",""E01027958"",""E01027959"",""E01027964"",""E01027965"",""E01027966"",""E01027967"",""E01027968"",""E01027969"",""E01027970"",""E01027971"",""E01027972"",""E01027974"",""E01027975"",""E01027976"",""E01027977"",""E01027978"",""E01027979"",""E01027980"",""E01027982"",""E01027983"",""E01027984"",""E01027985"",""E01027986"",""E01027987"",""E01027988"",""E01027989"",""E01027990"",""E01027991"",""E01027992""]",2_miles
Ashford,E01034986,0.875355895434268,51.1454587711657,10824,46,"[""E01023972"",""E01023973"",""E01023974"",""E01023975"",""E01023976"",""E01023977"",""E01023980"",""E01023981"",""E01023983"",""E01023984"",""E01023992"",""E01023993"",""E01023995"",""E01023996"",""E01023999"",""E01024001"",""E01024002"",""E01024003"",""E01024004"",""E01024005"",""E01024006"",""E01024008"",""E01024016"",""E01024017"",""E01024019"",""E01024020"",""E01024021"",""E01024022"",""E01024023"",""E01024028"",""E01024029"",""E01032810"",""E01032811"",""E01032813"",""E01032815"",""E01032816"",""E01032817"",""E01032818"",""E01032820"",""E01032821"",""E01032822"",""E01032823"",""E01032824"",""E01034985"",""E01034986"",""E01034987""]",2_miles
Babergh,E01029914,0.741887756244027,52.0492826307548,5844,17,"[""E01029886"",""E01029887"",""E01029888"",""E01029889"",""E01029890"",""E01029891"",""E01029912"",""E01029913"",""E01029914"",""E01029915"",""E01029916"",""E01029917"",""E01029918"",""E01029919"",""E01029920"",""E01029921"",""E01029923""]",2_miles
Barking and Dagenham,E01000079,0.138421120753146,51.5464148576642,13968,89,"[""E01000013"",""E01000014"",""E01000015"",""E01000016"",""E01000017"",""E01000018"",""E01000019"",""E01000020"",""E01000021"",""E01000022"",""E01000024"",""E01000025"",""E01000032"",""E01000033"",""E01000034"",""E01000035"",""E01000036"",""E01000038"",""E01000039"",""E01000040"",""E01000041"",""E01000042"",""E01000043"",""E01000045"",""E01000046"",""E01000053"",""E01000054"",""E01000055"",""E01000056"",""E01000057"",""E01000058"",""E01000059"",""E01000060"",""E01000061"",""E01000062"",""E01000063"",""E01000064"",""E01000065"",""E01000066"",""E01000067"",""E01000069"",""E01000070"",""E01000071"",""E01000072"",""E01000073"",""E01000074"",""E01000075"",""E01000076"",""E01000077"",""E01000078"",""E01000079"",""E01000080"",""E01000081"",""E01000082"",""E01000083"",""E01000084"",""E01000085"",""E01000086"",""E01000087"",""E01000088"",""E01000089"",""E01000090"",""E01000091"",""E01000093"",""E01000094"",""E01000095"",""E01000096"",""E01000097"",""E01000098"",""E01000099"",""E01000100"",""E01000101"",""E01000102"",""E01000103"",""E01000104"",""E01000105"",""E01000106"",""E01000107"",""E01000108"",""E01000110"",""E01000111"",""E01000112"",""E01000113"",""E01000114"",""E01032580"",""E01034469"",""E01034470"",""E01034471"",""E01034472""]",2_miles
Barnet,E01000199,-0.2067377230867,51.5996609947437,19546,99,"[""E01000126"",""E01000144"",""E01000145"",""E01000147"",""E01000150"",""E01000151"",""E01000152"",""E01000153"",""E01000154"",""E01000176"",""E01000177"",""E01000178"",""E01000179"",""E01000180"",""E01000181"",""E01000183"",""E01000184"",""E01000185"",""E01000196"",""E01000197"",""E01000198"",""E01000199"",""E01000200"",""E01000201"",""E01000202"",""E01000203"",""E01000204"",""E01000205"",""E01000207"",""E01000208"",""E01000209"",""E01000210"",""E01000211"",""E01000212"",""E01000213"",""E01000214"",""E01000215"",""E01000216"",""E01000217"",""E01000218"",""E01000219"",""E01000220"",""E01000221"",""E01000225"",""E01000236"",""E01000237"",""E01000238"",""E01000239"",""E01000240"",""E01000241"",""E01000242"",""E01000243"",""E01000244"",""E01000245"",""E01000255"",""E01000256"",""E01000257"",""E01000258"",""E01000259"",""E01000260"",""E01000275"",""E01000276"",""E01000277"",""E01000278"",""E01000283"",""E01000295"",""E01000296"",""E01000297"",""E01000298"",""E01000299"",""E01000300"",""E01000301"",""E01000302"",""E01000303"",""E01000304"",""E01000306"",""E01000307"",""E01000309"",""E01000310"",""E01000311"",""E01000313"",""E01000314"",""E01000315"",""E01000316"",""E01000317"",""E01000318"",""E01000319"",""E01000321"",""E01000322"",""E01000323"",""E01033911"",""E01033912"",""E01033915"",""E01033916"",""E01033917"",""E01033918"",""E01033919"",""E01033920"",""E01033925""]",2_miles
Barnsley,E01007337,-1.46649112667757,53.551929998101,13888,46,"[""E01007317"",""E01007318"",""E01007319"",""E01007320"",""E01007321"",""E01007322"",""E01007326"",""E01007327"",""E01007334"",""E01007335"",""E01007336"",""E01007337"",""E01007338"",""E01007339"",""E01007340"",""E01007344"",""E01007400"",""E01007402"",""E01007403"",""E01007404"",""E01007405"",""E01007406"",""E01007408"",""E01007409"",""E01007410"",""E01007411"",""E01007413"",""E01007414"",""E01007415"",""E01007416"",""E01007417"",""E01007441"",""E01007442"",""E01007443"",""E01007444"",""E01007445"",""E01007446"",""E01007458"",""E01007459"",""E01007460"",""E01007461"",""E01007462"",""E01007463"",""E01032551"",""E01034258"",""E01034259""]",2_miles
