code,name,total_population
E07000223,"Adur",64547
E07000026,"Allerdale",96156
E07000032,"Amber Valley",126205
E07000224,"Arun",164896
E07000170,"Ashfield",126305
E07000105,"Ashford",132752
E07000200,"Babergh",92332
E09000002,"Barking and Dagenham",218863
E09000003,"Barnet",389340
E08000016,"Barnsley",244576
E07000027,"Barrow-in-Furness",67404
E07000066,"Basildon",187576
E07000084,"Basingstoke and Deane",185148
E07000171,"Bassetlaw",117804
E06000022,"Bath and North East Somerset",193406
E06000055,"Bedford",185228
E09000004,"Bexley",246473
E08000025,"Birmingham",1144916
E07000129,"Blaby",102933
E06000008,"Blackburn with Darwen",154735
E06000009,"Blackpool",141033
W06000019,"Blaenau Gwent",66900
E07000033,"Bolsover",80277
E08000001,"Bolton",295961
E07000136,"Boston",70503
E06000036,"Bracknell Forest",124600
E08000032,"Bradford",546409
E07000067,"Braintree",155267
E07000143,"Breckland",141478
E09000005,"Brent",339818
E07000068,"Brentwood",77045
W06000013,"Bridgend",145486
E06000043,"Brighton and Hove",277107
E06000023,"Bristol",472462
E07000144,"Broadland",131722
E09000006,"Bromley",329989
E07000234,"Bromsgrove",99186
E07000095,"Broxbourne",99005
E07000172,"Broxtowe",110944
E06000060,"Buckinghamshire",553081
E07000117,"Burnley",94649
E08000002,"Bury",193851
W06000018,"Caerphilly",175956
E08000033,"Calderdale",206627
E07000008,"Cambridge",145676
E09000007,"Camden",210134
E07000192,"Cannock Chase",100529
E07000106,"Canterbury",157431
W06000015,"Cardiff",362301
E07000028,"Carlisle",110025
W06000010,"Carmarthenshire",187895
E07000069,"Castle Point",89591
E06000056,"Central Bedfordshire",294251
W06000008,"Ceredigion",71468
E07000130,"Charnwood",183978
E07000070,"Chelmsford",181527
E07000078,"Cheltenham",118833
E07000177,"Cherwell",161013
E06000049,"Cheshire East",398771
E06000050,"Cheshire West and Chester",357150
E07000034,"Chesterfield",103569
E07000225,"Chichester",124068
E07000118,"Chorley",117731
E09000001,"City of London",8579
E07000071,"Colchester",192716
W06000003,"Conwy",114741
E07000029,"Copeland",67063
E06000052,"Cornwall",570304
E07000079,"Cotswold",90834
E06000047,"County Durham",522062
E08000026,"Coventry",345328
E07000163,"Craven",56923
E07000226,"Crawley",118495
E09000008,"Croydon",390718
E07000096,"Dacorum",155082
E06000005,"Darlington",107807
E07000107,"Dartford",116756
W06000004,"Denbighshire",95816
E06000015,"Derby",261354
